PT,AU,BA,BE,GP,AF,BF,CA,TI,SO,SE,BS,LA,DT,CT,CY,CL,SP,HO,DE,ID,AB,C1,RP,EM,RI,OI,FU,FX,CR,NR,TC,Z9,U1,U2,PU,PI,PA,SN,EI,BN,J9,JI,PD,PY,VL,IS,PN,SU,SI,MA,BP,EP,AR,DI,D2,EA,EY,PG,WC,SC,GA,UT,PM,OA,HC,HP,DA
J,"HOFFMAN, AS",,,,"HOFFMAN, AS",,,SYNTHETIC-POLYMER BIOMATERIALS,ABSTRACTS OF PAPERS OF THE AMERICAN CHEMICAL SOCIETY,,,English,Meeting Abstract,,,,,,,,,"UNIV WASHINGTON,CTR BIOENGN,SEATTLE,WA 98195; UNIV WASHINGTON,DEPT CHEM ENGN,SEATTLE,WA 98195",,,,,,,,0,0,0,0,0,AMER CHEMICAL SOC,WASHINGTON,"1155 16TH ST, NW, WASHINGTON, DC 20036",0065-7727,,,ABSTR PAP AM CHEM S,Abstr. Pap. Am. Chem. Soc.,,1983.0,185,MAR,,,,,6,ORPL,,,,,,0,"Chemistry, Multidisciplinary",Chemistry,QG980,WOS:A1983QG98001858,,,,,2019-02-25
J,"URRY, DW; WALKER, JT; RAPAKA, RS; PRASAD, KU",,,,"URRY, DW; WALKER, JT; RAPAKA, RS; PRASAD, KU",,,A NEW CLASS OF ELASTOMERIC BIOMATERIALS - DYNAMIC BETA-SPIRALS COMPRISED OF SEQUENTIAL POLYPEPTIDES,ABSTRACTS OF PAPERS OF THE AMERICAN CHEMICAL SOCIETY,,,English,Meeting Abstract,,,,,,,,,"UNIV ALABAMA,MOLEC BIOPHYS LAB,BIRMINGHAM,AL 35294",,,,,,,,0,0,0,0,0,AMER CHEMICAL SOC,WASHINGTON,"1155 16TH ST, NW, WASHINGTON, DC 20036",0065-7727,,,ABSTR PAP AM CHEM S,Abstr. Pap. Am. Chem. Soc.,,1983.0,185,MAR,,,,,50,POLY,,,,,,0,"Chemistry, Multidisciplinary",Chemistry,QG980,WOS:A1983QG98002443,,,,,2019-02-25
J,"LELAH, MD; COOPER, SL",,,,"LELAH, MD; COOPER, SL",,,A NEW EXVIVO SERIES SHUNT FOR EVALUATING PLATELET AND FIBRINOGEN DEPOSITION ON POLYMERIC BIOMATERIALS,ABSTRACTS OF PAPERS OF THE AMERICAN CHEMICAL SOCIETY,,,English,Meeting Abstract,,,,,,,,,"UNIV WISCONSIN,DEPT CHEM ENGN,MADISON,WI 53706",,,,,,,,0,0,0,0,0,AMER CHEMICAL SOC,WASHINGTON,"1155 16TH ST, NW, WASHINGTON, DC 20036",0065-7727,,,ABSTR PAP AM CHEM S,Abstr. Pap. Am. Chem. Soc.,,1983.0,185,MAR,,,,,103,POLY,,,,,,0,"Chemistry, Multidisciplinary",Chemistry,QG980,WOS:A1983QG98002496,,,,,2019-02-25
J,"BRUCK, SD",,,,"BRUCK, SD",,,PROBLEMS AND CHALLENGES IN THE INTERACTIONS OF BIOMATERIALS WITH BLOOD,ABSTRACTS OF PAPERS OF THE AMERICAN CHEMICAL SOCIETY,,,English,Meeting Abstract,,,,,,,,,"STEPHEN D BRUCK ASSOCIATES,MED TECHNOL ASSESSMENT GRP,BETHESDA,MD 20814",,,,,,,,0,0,0,0,0,AMER CHEMICAL SOC,WASHINGTON,"1155 16TH ST, NW, WASHINGTON, DC 20036",0065-7727,,,ABSTR PAP AM CHEM S,Abstr. Pap. Am. Chem. Soc.,,1983.0,185,MAR,,,,,139,ORPL,,,,,,0,"Chemistry, Multidisciplinary",Chemistry,QG980,WOS:A1983QG98002045,,,,,2019-02-25
J,"LEMONS, JE",,,,"LEMONS, JE",,,DENTAL IMPLANT UPDATE ON BIOMATERIALS AND BIOMECHANICS,ALABAMA JOURNAL OF MEDICAL SCIENCES,,,English,Article,,,,,,,,,,"LEMONS, JE (reprint author), UNIV ALABAMA,SCH DENT,DEPT BIOMAT,BIRMINGHAM,AL 35294, USA.",,,,,,,25,1,1,0,0,UNIV ALABAMA,BIRMINGHAM,"ALABAMA J MED SCI 125 C.H.S.B., BIRMINGHAM, AL 35294",0002-4252,,,ALA J MED SCI,,,1983.0,20,1,,,,,36,41,,,,,,6,"Medicine, General & Internal",General & Internal Medicine,PX440,WOS:A1983PX44000012,6338756.0,,,,2019-02-25
J,"FISHER, G",,,,"FISHER, G",,,TECHNICAL CERAMICS ADVANCING WITH BIOMATERIALS APPLICATIONS,AMERICAN CERAMIC SOCIETY BULLETIN,,,English,Article,,,,,,,,,,"FISHER, G (reprint author), AMER CERAM SOC,COLUMBUS,OH 43214, USA.",,,,,,,26,1,1,0,0,AMER CERAMIC SOC,WESTERVILLE,"735 CERAMIC PLACE, PO BOX 6136, WESTERVILLE, OH 43081-6136",0002-7812,,,AM CERAM SOC BULL,Am. Ceram. Soc. Bull.,,1983.0,62,11,,,,,1237,&,,,,,,0,"Materials Science, Ceramics",Materials Science,RR139,WOS:A1983RR13900001,,,,,2019-02-25
J,"RATNER, BD",,,,"RATNER, BD",,,SURFACE CHARACTERIZATION OF BIOMATERIALS BY ELECTRON-SPECTROSCOPY FOR CHEMICAL-ANALYSIS,ANNALS OF BIOMEDICAL ENGINEERING,,,English,Article,,,,,,,,,,"RATNER, BD (reprint author), UNIV WASHINGTON, DEPT CHEM ENGN, SEATTLE, WA 98195 USA.",,,,"NHLBI NIH HHS [HL 19419, HL 22163, HL 25951]",,,62,98,98,0,7,SPRINGER,NEW YORK,"233 SPRING ST, NEW YORK, NY 10013 USA",0090-6964,1573-9686,,ANN BIOMED ENG,Ann. Biomed. Eng.,,1983.0,11,3-4,,,,,313,336,,10.1007/BF02363290,,,,24,"Engineering, Biomedical",Engineering,SF807,WOS:A1983SF80700009,6670788.0,,,,2019-02-25
J,[Anonymous],,,,[Anonymous],,,"NATIONAL-INSTITUTES-OF-HEALTH CONSENSUS DEVELOPMENT CONFERENCE STATEMENT ON THE CLINICAL-APPLICATIONS OF BIOMATERIALS - NOVEMBER 1-3, 1982",ARTIFICIAL ORGANS,,,English,Editorial Material,,,,,,,,,,,,,,,,,0,0,0,0,1,BLACKWELL SCIENCE INC,MALDEN,"350 MAIN ST, MALDEN, MA 02148",0160-564X,,,ARTIF ORGANS,Artif. Organs,,1983.0,7,2,,,,,260,265,,,,,,6,"Engineering, Biomedical; Transplantation",Engineering; Transplantation,QS609,WOS:A1983QS60900019,6688173.0,,,,2019-02-25
J,"PORATH, J; OLIN, B",,,,"PORATH, J; OLIN, B",,,IMMOBILIZED METAL-ION AFFINITY ADSORPTION AND IMMOBILIZED METAL-ION AFFINITY-CHROMATOGRAPHY OF BIOMATERIALS - SERUM-PROTEIN AFFINITIES FOR GEL-IMMOBILIZED IRON AND NICKEL IONS,BIOCHEMISTRY,,,English,Article,,,,,,,,,,"PORATH, J (reprint author), UPPSALA BIOMED CTR,INST BIOCHEM,S-75123 UPPSALA,SWEDEN.",,,,,,,22,491,506,8,72,AMER CHEMICAL SOC,WASHINGTON,"1155 16TH ST, NW, WASHINGTON, DC 20036",0006-2960,,,BIOCHEMISTRY-US,Biochemistry,,1983.0,22,7,,,,,1621,1630,,10.1021/bi00276a015,,,,10,Biochemistry & Molecular Biology,Biochemistry & Molecular Biology,QH438,WOS:A1983QH43800015,6849872.0,,,,2019-02-25
J,"WOLF, H; DOMASCH, K; BRAUER, HJ; VOIGT, A",,,,"WOLF, H; DOMASCH, K; BRAUER, HJ; VOIGT, A",,,QUANTITATIVE MEASUREMENTS OF CONTACT INTERACTIONS BETWEEN SOLID-SURFACES - A NOVEL METHOD FOR CHARACTERIZING SURFACE-PROPERTIES OF BIOMATERIALS,BIOMATERIALS,,,English,Article,,,,,,,,,"AKAD WISSENSCH DDR,FORSCHUNGSINST AUFBEREITUNG,DDR-92 FREIBERG,GER DEM REP","WOLF, H (reprint author), HUMBOLDT UNIV,BEREICH MED CHARITE,UNIV KLIN INNERE MED,FORSCH ABT BIOMAT,DDR-1040 BERLIN,GER DEM REP.",,,,,,,10,1,1,0,0,ELSEVIER SCI LTD,OXFORD,"THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD, OXON, ENGLAND OX5 1GB",0142-9612,,,BIOMATERIALS,Biomaterials,,1983.0,4,4,,,,,289,293,,10.1016/0142-9612(83)90030-3,,,,5,"Engineering, Biomedical; Materials Science, Biomaterials",Engineering; Materials Science,RP021,WOS:A1983RP02100010,6640056.0,,,,2019-02-25
