PT,AU,BA,BE,GP,AF,BF,CA,TI,SO,SE,BS,LA,DT,CT,CY,CL,SP,HO,DE,ID,AB,C1,RP,EM,RI,OI,FU,FX,CR,NR,TC,Z9,U1,U2,PU,PI,PA,SN,EI,BN,J9,JI,PD,PY,VL,IS,PN,SU,SI,MA,BP,EP,AR,DI,D2,EA,EY,PG,WC,SC,GA,UT,PM,OA,HC,HP,DA
J,"HOFFMAN, AS",,,,"HOFFMAN, AS",,,FUTURE-DEVELOPMENT OF BIOMATERIALS - DEMAND AND POTENTIAL - A PANEL PRESENTATION AT THE VITH ISAO WORLD CONGRESS,ARTIFICIAL ORGANS,,,English,Editorial Material,,,,,,,,,,"HOFFMAN, AS (reprint author), UNIV WASHINGTON,CTR BIOENGN,SEATTLE,WA 98195, USA.",,,,,,,0,0,0,0,1,BLACKWELL SCIENCE INC,MALDEN,"350 MAIN ST, MALDEN, MA 02148",0160-564X,,,ARTIF ORGANS,Artif. Organs,DEC,1988.0,12,6,,,,,503,503,,10.1111/j.1525-1594.1988.tb02812.x,,,,1,"Engineering, Biomedical; Transplantation",Engineering; Transplantation,R2891,WOS:A1988R289100008,,,,,2019-02-25
J,"HOFFMAN, AS",,,,"HOFFMAN, AS",,,COMBINING NOVEL BIOMOLECULES AND STIMULI-SENSITIVE BIOMATERIALS INTO NEW RECOGNITION RESPONSE BIOMATERIAL SYSTEMS,ARTIFICIAL ORGANS,,,English,Article,,,,,,,,,,"HOFFMAN, AS (reprint author), UNIV WASHINGTON,CTR BIOENGN,FL-20,SEATTLE,WA 98195, USA.",,,,,,,0,4,4,0,1,BLACKWELL SCIENCE INC,MALDEN,"350 MAIN ST, MALDEN, MA 02148",0160-564X,,,ARTIF ORGANS,Artif. Organs,DEC,1988.0,12,6,,,,,504,505,,10.1111/j.1525-1594.1988.tb02813.x,,,,2,"Engineering, Biomedical; Transplantation",Engineering; Transplantation,R2891,WOS:A1988R289100009,3214330.0,,,,2019-02-25
J,"CHENOWETH, DE",,,,"CHENOWETH, DE",,,COMPLEMENT ACTIVATION PRODUCED BY BIOMATERIALS,ARTIFICIAL ORGANS,,,English,Article,,,,,,,,,,"CHENOWETH, DE (reprint author), BAXTER HEALTHCARE CORP,ROUTE 120 & WILSON ROADS,ROUND LAKE,IL 60073, USA.",,,,,,,9,11,11,0,4,BLACKWELL SCIENCE INC,MALDEN,"350 MAIN ST, MALDEN, MA 02148",0160-564X,,,ARTIF ORGANS,Artif. Organs,DEC,1988.0,12,6,,,,,508,510,,10.1111/j.1525-1594.1988.tb02815.x,,,,3,"Engineering, Biomedical; Transplantation",Engineering; Transplantation,R2891,WOS:A1988R289100011,3265053.0,,,,2019-02-25
J,"BARENBERG, SA",,,,"BARENBERG, SA",,,ABRIDGED REPORT OF THE COMMITTEE TO SURVEY THE NEEDS AND OPPORTUNITIES FOR THE BIOMATERIALS INDUSTRY,JOURNAL OF BIOMEDICAL MATERIALS RESEARCH,,,English,Article,,,,,,,,,,"BARENBERG, SA (reprint author), BAXTER HEALTHCARE CORP,CTR MAT & MEMBRANE TECH,POB 490,ROUND LAKE,IL 60073, USA.",,,,,,,0,4,4,0,0,JOHN WILEY & SONS INC,NEW YORK,"605 THIRD AVE, NEW YORK, NY 10158-0012",0021-9304,,,J BIOMED MATER RES,J. Biomed. Mater. Res.,DEC,1988.0,22,12,,,,,1267,1291,,10.1002/jbm.820221213,,,,25,"Engineering, Biomedical; Materials Science, Biomaterials",Engineering; Materials Science,R1432,WOS:A1988R143200011,3235460.0,,,,2019-02-25
J,"DANIELS, AU",,,,"DANIELS, AU",,,APPLIED BIOMATERIALS STANDARDS REPORT,JOURNAL OF BIOMEDICAL MATERIALS RESEARCH-APPLIED BIOMATERIALS,,,English,Editorial Material,,,,,,,,,,,,,,,,,0,0,0,0,0,JOHN WILEY & SONS INC,NEW YORK,"605 THIRD AVE, NEW YORK, NY 10158-0012",,,,J BIOMED MATER RES-A,,DEC,1988.0,22,A3,,S,,,213,214,,,,,,2,"Engineering, Biomedical; Materials Science, Multidisciplinary; Materials Science, Biomaterials",Engineering; Materials Science,R2366,WOS:A1988R236600001,,,,,2019-02-25
J,"ANSBACHER, L; NICHOLS, MF; HAHN, AW",,,,"ANSBACHER, L; NICHOLS, MF; HAHN, AW",,,THE INFLUENCE OF ENCEPHALITOZOON-CUNICULI ON NEURAL TISSUE RESPONSES TO IMPLANTED BIOMATERIALS IN THE RABBIT,LABORATORY ANIMAL SCIENCE,,,English,Article,,,,,,,,,"UNIV MISSOURI, COLL VET MED, COLUMBIA, MO 65212 USA; UNIV MISSOURI, JOHN M DALTON RES CTR, COLUMBIA, MO 65212 USA","ANSBACHER, L (reprint author), UNIV MISSOURI, SCH MED, DEPT PATHOL, COLUMBIA, MO 65212 USA.",,,,"NINDS NIH HHS [N01-NS-1-2382, N01-NS-8-2393]",,,35,4,5,0,0,AMER ASSOC LABORATORY ANIMAL SCIENCE,MEMPHIS,"9190 CRESTWYN HILLS DR, MEMPHIS, TN 38125 USA",0023-6764,,,LAB ANIM SCI,Lab. Anim. Sci.,DEC,1988.0,38,6,,,,,689,695,,,,,,7,Veterinary Sciences; Zoology,Veterinary Sciences; Zoology,R6291,WOS:A1988R629100005,3146669.0,,,,2019-02-25
J,"HANKER, JS; GIAMMARA, BL",,,,"HANKER, JS; GIAMMARA, BL",,,BIOMATERIALS AND BIOMEDICAL DEVICES,SCIENCE,,,English,Article,,,,,,,,,"UNIV LOUISVILLE,ANALYT ELECTRON MICROSCOPY LAB,LOUISVILLE,KY 40292","HANKER, JS (reprint author), UNIV N CAROLINA,BIOMED ENGN CURRICULUM,CHAPEL HILL,NC 27599, USA.",,,,,,,98,92,92,1,12,AMER ASSOC ADVANCEMENT SCIENCE,WASHINGTON,"1200 NEW YORK AVE, NW, WASHINGTON, DC 20005",0036-8075,,,SCIENCE,Science,NOV 11,1988.0,242,4880,,,,,885,892,,10.1126/science.3055300,,,,8,Multidisciplinary Sciences,Science & Technology - Other Topics,Q8226,WOS:A1988Q822600021,3055300.0,,,,2019-02-25
J,"MCAUSLAN, BR; JOHNSON, G; HANNAN, GN; NORRIS, WD; EXNER, T",,,,"MCAUSLAN, BR; JOHNSON, G; HANNAN, GN; NORRIS, WD; EXNER, T",,,CELL RESPONSES TO BIOMATERIALS .2. ENDOTHELIAL-CELL ADHESION AND GROWTH ON PERFLUOROSULFONIC ACID,JOURNAL OF BIOMEDICAL MATERIALS RESEARCH,,,English,Article,,,,,,,,,"WESTMEAD HOSP,DEPT CLIN RES,WESTMEAD,NSW 2145,AUSTRALIA","MCAUSLAN, BR (reprint author), CSIRO,DIV BIOTECHNOL,MOLEC BIOL LAB,POB 184,N RYDE,NSW 2113,AUSTRALIA.",,"HANNAN, GARRY/H-8594-2013",,,,,22,15,15,0,0,JOHN WILEY & SONS INC,NEW YORK,"605 THIRD AVE, NEW YORK, NY 10158-0012",0021-9304,,,J BIOMED MATER RES,J. Biomed. Mater. Res.,NOV,1988.0,22,11,,,,,963,976,,10.1002/jbm.820221102,,,,14,"Engineering, Biomedical; Materials Science, Biomaterials",Engineering; Materials Science,Q6050,WOS:A1988Q605000001,3241010.0,,,,2019-02-25
J,"HUGHES, KE; FINK, DJ; HUTSON, TB; VEIS, A",,,,"HUGHES, KE; FINK, DJ; HUTSON, TB; VEIS, A",,,HIGH-STRENGTH COLLAGEN BIOMATERIALS,JOURNAL OF THE AMERICAN LEATHER CHEMISTS ASSOCIATION,,,English,Article,,,,,,,,,,"HUGHES, KE (reprint author), BATTELLE MEM INST,505 KING AVE,COLUMBUS,OH 43201, USA.",,,,,,,0,3,3,0,0,AMER LEATHER CHEMISTS ASSN,CINCINNATI,"ROOM 5 CAMPUS STATION-14 TANNER RES LAB, CINCINNATI, OH 45221",0002-9726,,,J AM LEATHER CHEM AS,J. Am. Leather Chem. Assoc.,NOV,1988.0,83,11,,,,,372,377,,,,,,6,"Chemistry, Applied; Materials Science, Textiles",Chemistry; Materials Science,R3536,WOS:A1988R353600002,,,,,2019-02-25
J,"JONES, DW; RIZKALLA, AS; SUTOW, EJ; KING, HW",,,,"JONES, DW; RIZKALLA, AS; SUTOW, EJ; KING, HW",,,INDENTATION FRACTURE-TOUGHNESS AND DYNAMIC YOUNGS MODULUS OF CERAMIC BIOMATERIALS,MATERIALS SCIENCE AND ENGINEERING A-STRUCTURAL MATERIALS PROPERTIES MICROSTRUCTURE AND PROCESSING,,,English,Article,,,,,,,,,"TECH UNIV NOVA SCOTIA,HALIFAX B3J 2X4,NS,CANADA","JONES, DW (reprint author), DALHOUSIE UNIV,HALIFAX B3H 4H2,NS,CANADA.",,"Rizkalla, Amin/D-8845-2015","Rizkalla, Amin/0000-0003-0548-3817",,,,20,12,12,1,5,ELSEVIER SCIENCE SA LAUSANNE,LAUSANNE 1,"PO BOX 564, 1001 LAUSANNE 1, SWITZERLAND",0921-5093,,,MAT SCI ENG A-STRUCT,Mater. Sci. Eng. A-Struct. Mater. Prop. Microstruct. Process.,NOV,1988.0,105,,,,,,207,213,,10.1016/0025-5416(88)90498-3,,,,7,"Nanoscience & Nanotechnology; Materials Science, Multidisciplinary; Metallurgy & Metallurgical Engineering",Science & Technology - Other Topics; Materials Science; Metallurgy & Metallurgical Engineering,R8295,WOS:A1988R829500026,,,,,2019-02-25
J,"NOSE, Y",,,,"NOSE, Y",,,BIOINCOMPATIBLE BIOMATERIALS FOR EXTRACORPOREAL IMMUNOMODULATION,ARTIFICIAL ORGANS,,,English,Editorial Material,,,,,,,,,,,,,,,,,0,2,2,0,0,BLACKWELL SCIENCE INC,MALDEN,"350 MAIN ST, MALDEN, MA 02148",0160-564X,,,ARTIF ORGANS,Artif. Organs,OCT,1988.0,12,5,,,,,377,378,,10.1111/j.1525-1594.1988.tb02790.x,,,,2,"Engineering, Biomedical; Transplantation",Engineering; Transplantation,Q3968,WOS:A1988Q396800001,3190486.0,,,,2019-02-25
J,"LODI, M; CAVALLINI, G; SUSA, A; LANFREDI, M",,,,"LODI, M; CAVALLINI, G; SUSA, A; LANFREDI, M",,,BIOMATERIALS AND IMMUNE-SYSTEM - CELLULAR-REACTIVITY TOWARDS PTFE AND DACRON VASCULAR SUBSTITUTES POINTED OUT BY THE LEUKOCYTE ADHERENCE INHIBITION (LAI) TEST,INTERNATIONAL ANGIOLOGY,,,English,Article,,,,,,,,,,"LODI, M (reprint author), UNIV FERRARA,FAC MED & CHIRURG,IST PATOL GEN,VIA RENATA FRANCIA 25,I-44100 FERRARA,ITALY.",,,,,,,0,3,3,0,0,EDIZIONI MINERVA MEDICA,TURIN,"CORSO BRAMANTE 83-85 INT JOURNALS DEPT., 10126 TURIN, ITALY",0392-9590,,,INT ANGIOL,Int. Angiol.,OCT-DEC,1988.0,7,4,,,,,344,348,,,,,,5,Peripheral Vascular Disease,Cardiovascular System & Cardiology,U0363,WOS:A1988U036300013,2977398.0,,,,2019-02-25
J,"KAPLAN, DS; PICCIOLO, GL",,,,"KAPLAN, DS; PICCIOLO, GL",,,CELLULAR CHEMI-LUMINESCENCE RESPONSE OF A HUMAN-LEUKEMIC CELL-LINE (HL-60) TO BIOMATERIALS,JOURNAL OF BIOLUMINESCENCE AND CHEMILUMINESCENCE,,,English,Meeting Abstract,,,,,,,,,"US FDA,ROCKVILLE,MD 20857",,,,,,,,0,0,0,0,0,JOHN WILEY & SONS LTD,W SUSSEX,"BAFFINS LANE CHICHESTER, W SUSSEX, ENGLAND PO19 1UD",0884-3996,,,J BIOLUM CHEMILUM,J. Biolumin. Chemilumin.,OCT-DEC,1988.0,2,4,,,,,220,220,,,,,,1,Biochemistry & Molecular Biology,Biochemistry & Molecular Biology,P8309,WOS:A1988P830900095,,,,,2019-02-25
J,"RAPOZA, RJ; HORBETT, TA",,,,"RAPOZA, RJ; HORBETT, TA",,,MECHANISMS OF PROTEIN INTERACTIONS WITH BIOMATERIALS - THE EFFECT OF SURFACTANT STRUCTURE ON ELUTABILITY,ABSTRACTS OF PAPERS OF THE AMERICAN CHEMICAL SOCIETY,,,English,Meeting Abstract,,,,,,,,,"UNIV WASHINGTON,CTR BIOENGN,SEATTLE,WA 98195; UNIV WASHINGTON,DEPT CHEM ENGN,SEATTLE,WA 98195",,,,,,,,0,0,0,0,0,AMER CHEMICAL SOC,WASHINGTON,"1155 16TH ST, NW, WASHINGTON, DC 20036",0065-7727,,,ABSTR PAP AM CHEM S,Abstr. Pap. Am. Chem. Soc.,SEP 25,1988.0,196,,,,,,53,PMSE,,,,,,0,"Chemistry, Multidisciplinary",Chemistry,P8142,WOS:A1988P814203669,,,,,2019-02-25
