,2002,2004,2006,2008,2010,2012,2014,2016,2018
adhesion,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
apatite,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bioactivity,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0
biocompatibility,52.0,74.0,117.0,132.0,176.0,193.0,262.0,246.0,223.0
biodegradable,0.0,30.0,30.0,56.0,0.0,0.0,0.0,0.0,0.0
biomaterial,28.0,53.0,43.0,70.0,95.0,131.0,133.0,154.0,189.0
biomaterials,281.0,374.0,501.0,768.0,916.0,1143.0,1566.0,1566.0,1630.0
blood compatibility,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bone,0.0,0.0,30.0,50.0,52.0,0.0,0.0,0.0,0.0
bone regeneration,0.0,0.0,0.0,0.0,0.0,68.0,0.0,111.0,156.0
calcium phosphate,0.0,0.0,42.0,42.0,0.0,0.0,0.0,0.0,0.0
cell adhesion,25.0,30.0,38.0,54.0,79.0,83.0,0.0,0.0,0.0
cell culture,18.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chitosan,13.0,26.0,56.0,75.0,89.0,141.0,157.0,153.0,224.0
collagen,23.0,38.0,57.0,54.0,85.0,100.0,114.0,142.0,148.0
corrosion,16.0,0.0,0.0,0.0,52.0,69.0,95.0,0.0,0.0
cytotoxicity,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
drug delivery,12.0,0.0,31.0,52.0,52.0,105.0,143.0,158.0,177.0
electrospinning,0.0,0.0,0.0,0.0,49.0,98.0,115.0,145.0,157.0
hydrogel,13.0,20.0,33.0,58.0,94.0,116.0,119.0,169.0,233.0
hydrogels,0.0,0.0,0.0,61.0,71.0,109.0,107.0,112.0,153.0
hydroxyapatite,40.0,68.0,91.0,126.0,159.0,173.0,197.0,176.0,220.0
mechanical properties,23.0,39.0,64.0,81.0,90.0,140.0,163.0,174.0,175.0
microstructure,0.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0
nanoparticles,0.0,0.0,0.0,0.0,0.0,72.0,106.0,140.0,0.0
osteoblast,0.0,27.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0
platelet adhesion,13.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
polymers,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
protein adsorption,24.0,26.0,0.0,0.0,51.0,0.0,0.0,0.0,0.0
regenerative medicine,0.0,0.0,0.0,0.0,0.0,0.0,85.0,113.0,123.0
scaffold,0.0,24.0,40.0,80.0,84.0,129.0,143.0,142.0,169.0
scaffolds,0.0,0.0,0.0,47.0,0.0,0.0,0.0,0.0,131.0
self-assembly,0.0,0.0,0.0,59.0,58.0,66.0,80.0,96.0,138.0
silk fibroin,0.0,0.0,0.0,0.0,0.0,0.0,83.0,115.0,116.0
stem cells,0.0,0.0,0.0,0.0,0.0,71.0,0.0,98.0,126.0
surface modification,30.0,45.0,50.0,66.0,81.0,84.0,111.0,99.0,0.0
tissue engineering,58.0,96.0,146.0,224.0,253.0,315.0,423.0,436.0,570.0
titanium,39.0,24.0,40.0,61.0,62.0,0.0,81.0,0.0,0.0
wound healing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125.0
