,2002,2004,2006,2008,2010,2012,2014,2016,2018
3D printing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.0
Biocompatibility,0.0,0.0,0.0,0.0,77.0,88.0,132.0,117.0,119.0
Biomaterial,0.0,0.0,0.0,0.0,50.0,59.0,67.0,86.0,90.0
Biomaterials,0.0,0.0,0.0,58.0,396.0,553.0,751.0,723.0,790.0
Cell adhesion,0.0,0.0,0.0,0.0,43.0,0.0,0.0,0.0,0.0
Chitosan,0.0,0.0,0.0,0.0,46.0,89.0,98.0,100.0,128.0
Collagen,0.0,0.0,0.0,0.0,0.0,0.0,64.0,76.0,0.0
Drug delivery,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0
Electrospinning,0.0,0.0,0.0,0.0,0.0,59.0,0.0,0.0,0.0
Hydrogel,0.0,0.0,0.0,0.0,60.0,55.0,70.0,87.0,110.0
Hydroxyapatite,0.0,0.0,0.0,0.0,79.0,103.0,118.0,106.0,121.0
Mechanical properties,0.0,0.0,0.0,0.0,46.0,77.0,79.0,90.0,0.0
Nanoparticles,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,0.0
Scaffold,0.0,0.0,0.0,0.0,46.0,75.0,80.0,84.0,0.0
Surface modification,0.0,0.0,0.0,0.0,41.0,0.0,0.0,0.0,0.0
Tissue engineering,0.0,0.0,0.0,0.0,119.0,153.0,174.0,201.0,237.0
adhesion,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
apatite,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bioactivity,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0
biocompatibility,52.0,74.0,117.0,123.0,99.0,105.0,130.0,129.0,104.0
biodegradable,0.0,30.0,30.0,52.0,0.0,0.0,0.0,0.0,0.0
biomaterial,28.0,52.0,43.0,66.0,45.0,72.0,66.0,68.0,99.0
biomaterials,279.0,373.0,494.0,710.0,516.0,588.0,814.0,843.0,838.0
blood compatibility,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bone,0.0,0.0,29.0,48.0,0.0,0.0,0.0,0.0,0.0
bone regeneration,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0
calcium phosphate,0.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0
cell adhesion,25.0,30.0,38.0,49.0,0.0,0.0,0.0,0.0,0.0
cell culture,18.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chitosan,13.0,26.0,56.0,66.0,43.0,0.0,0.0,0.0,96.0
collagen,23.0,38.0,57.0,52.0,48.0,0.0,0.0,0.0,0.0
composites,0.0,0.0,0.0,0.0,0.0,0.0,62.0,0.0,0.0
corrosion,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cytotoxicity,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
drug delivery,12.0,0.0,31.0,48.0,0.0,0.0,91.0,91.0,100.0
electrospinning,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,88.0
hydrogel,13.0,20.0,33.0,52.0,0.0,61.0,0.0,82.0,123.0
hydrogels,0.0,0.0,0.0,60.0,42.0,64.0,83.0,0.0,99.0
hydroxyapatite,40.0,68.0,89.0,111.0,80.0,70.0,79.0,70.0,98.0
mechanical properties,23.0,39.0,64.0,78.0,41.0,59.0,84.0,83.0,0.0
microstructure,0.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0
osteoblast,0.0,27.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0
platelet adhesion,13.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
polymers,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
protein adsorption,24.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
scaffold,0.0,24.0,40.0,71.0,0.0,54.0,63.0,0.0,0.0
scaffolds,0.0,0.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0
self-assembly,0.0,0.0,0.0,57.0,0.0,0.0,0.0,0.0,94.0
surface modification,30.0,45.0,50.0,61.0,0.0,0.0,0.0,0.0,0.0
tissue engineering,58.0,95.0,145.0,211.0,128.0,152.0,229.0,220.0,316.0
titanium,39.0,24.0,40.0,57.0,0.0,0.0,0.0,0.0,0.0
