Topic_Year,Topic_num,Sum_Citation,Five_Year_Percent,Three_Year_Percent
0_2002,72.0,7219.0,0.3415492957746479,0.5739644970414202
0_2003,97.0,6510.0,0.3323529411764706,0.40070921985815605
0_2004,113.0,6138.0,0.2967581047381546,0.3617021276595745
0_2005,119.0,7152.0,0.251865671641791,0.3678474114441417
0_2006,135.0,4255.0,0.22278056951423786,0.34366925064599485
0_2007,133.0,11188.0,0.2784992784992785,0.41865509761388287
0_2008,193.0,7068.0,0.22459893048128343,0.340080971659919
0_2009,168.0,5574.0,0.21375,0.32142857142857145
0_2010,171.0,6387.0,0.24688561721404303,0.39138240574506283
0_2011,218.0,6978.0,0.2416582406471183,0.38057324840764334
0_2012,239.0,6234.0,0.2518796992481203,0.3696551724137931
0_2013,268.0,5169.0,0.24196277495769883,0.36065573770491804
0_2014,286.0,4540.0,0.22706422018348624,0.3490011750881316
0_2015,297.0,2962.0,0.20146520146520147,0.32051282051282054
0_2016,275.0,2066.0,0.18523878437047755,0.30917874396135264
0_2017,256.0,1111.0,0.17664449371766444,0.3103896103896104
0_2018,239.0,315.0,0.2072808320950966,0.36046511627906974
1_2002,16.0,328.0,0.21052631578947367,0.3333333333333333
1_2003,8.0,576.0,0.3469387755102041,0.4146341463414634
1_2004,17.0,1445.0,0.39705882352941174,0.5192307692307693
1_2005,27.0,1790.0,0.31313131313131315,0.41333333333333333
1_2006,31.0,597.0,0.23853211009174313,0.30952380952380953
1_2007,26.0,1291.0,0.25735294117647056,0.3804347826086957
1_2008,35.0,2444.0,0.2608695652173913,0.4077669902912621
1_2009,42.0,1407.0,0.23863636363636365,0.35294117647058826
1_2010,42.0,2422.0,0.2639593908629442,0.38235294117647056
1_2011,52.0,1110.0,0.18181818181818182,0.2878787878787879
1_2012,38.0,1871.0,0.2627118644067797,0.40789473684210525
1_2013,62.0,1650.0,0.245136186770428,0.38650306748466257
1_2014,63.0,736.0,0.19776119402985073,0.29775280898876405
1_2015,53.0,1083.0,0.24210526315789474,0.372972972972973
1_2016,69.0,1333.0,0.29022988505747127,0.452914798206278
1_2017,101.0,463.0,0.2571428571428571,0.3680297397769517
1_2018,99.0,196.0,0.24056603773584906,0.33774834437086093
2_2002,35.0,4484.0,0.3393939393939394,0.6153846153846154
2_2003,56.0,4279.0,0.36893203883495146,0.4550898203592814
2_2004,76.0,4032.0,0.3183673469387755,0.37142857142857144
2_2005,78.0,4956.0,0.3269230769230769,0.4358974358974359
2_2006,119.0,5367.0,0.2753303964757709,0.38819875776397517
2_2007,125.0,4822.0,0.27898550724637683,0.3869346733668342
2_2008,154.0,5902.0,0.2676923076923077,0.3841059602649007
2_2009,174.0,5817.0,0.2403718459495352,0.3555992141453831
2_2010,181.0,7106.0,0.2479240806642942,0.37056737588652483
2_2011,209.0,6627.0,0.21185510428100987,0.33104631217838765
2_2012,193.0,4439.0,0.2171664943123061,0.3431372549019608
2_2013,210.0,4820.0,0.23823246878001922,0.38095238095238093
2_2014,248.0,2932.0,0.21100917431192662,0.33430232558139533
2_2015,230.0,2847.0,0.2126899016979446,0.3324022346368715
2_2016,238.0,1932.0,0.21922428330522767,0.35714285714285715
2_2017,260.0,1313.0,0.22044728434504793,0.35658914728682173
2_2018,276.0,279.0,0.21623731459797033,0.34071340713407133
3_2002,42.0,1864.0,0.29770992366412213,0.48148148148148145
3_2003,39.0,3582.0,0.3333333333333333,0.3816793893129771
3_2004,50.0,1385.0,0.2598870056497175,0.34074074074074073
3_2005,46.0,5076.0,0.3492647058823529,0.4973821989528796
3_2006,95.0,1180.0,0.22818791946308725,0.3253588516746411
3_2007,68.0,6055.0,0.26,0.35826771653543305
3_2008,91.0,4072.0,0.2,0.32051282051282054
3_2009,75.0,2604.0,0.22588235294117648,0.366412213740458
3_2010,96.0,2618.0,0.23433874709976799,0.3713235294117647
3_2011,101.0,2808.0,0.22929936305732485,0.3540983606557377
3_2012,108.0,1723.0,0.20502092050209206,0.31921824104234525
3_2013,98.0,2657.0,0.263254113345521,0.4114285714285714
3_2014,144.0,2266.0,0.23299319727891157,0.36147757255936674
3_2015,137.0,1535.0,0.22328548644338117,0.332541567695962
3_2016,140.0,1772.0,0.22652757078986588,0.3543123543123543
3_2017,152.0,860.0,0.22357723577235772,0.3610503282275711
3_2018,165.0,211.0,0.19621109607577808,0.31385281385281383
4_2002,63.0,3801.0,0.34913793103448276,0.5625
